CUSTOM - 2021-07-16 08:57:19 --> Order::index - /index.php/order: null
CUSTOM - 2021-07-16 09:35:17 --> Order::saveDevided - /index.php/order/saveDevided: [{"id":"132836","quantity":1},{"id":"132837","quantity":1},{"id":"132838","quantity":1},{"id":"132839","quantity":1},{"id":"132840","quantity":1},{"id":"132841","quantity":5},{"id":"132842","quantity":1},{"id":"132843","quantity":1},{"id":"132965","quantity":5},{"id":"132966","quantity":1},{"id":"132967","quantity":1},{"id":"132968","quantity":2},{"id":"132969","quantity":3},{"id":"132970","quantity":2},{"id":"132971","quantity":0},{"id":"132972","quantity":2},{"id":"132973","quantity":1},{"id":"132974","quantity":1},{"id":"132975","quantity":1},{"id":"132976","quantity":1},{"id":"132977","quantity":1},{"id":"132978","quantity":1},{"id":"132979","quantity":5},{"id":"132980","quantity":2},{"id":"132981","quantity":1},{"id":"132982","quantity":1},{"id":"132983","quantity":1},{"id":"132984","quantity":1},{"id":"132985","quantity":1},{"id":"132986","quantity":1},{"id":"133041","quantity":1},{"id":"133042","quantity":2},{"id":"133043","quantity":2},{"id":"133044","quantity":1},{"id":"133045","quantity":1},{"id":"133046","quantity":2},{"id":"133047","quantity":1},{"id":"131763","quantity":30},{"id":"133169","quantity":5},{"id":"133170","quantity":1},{"id":"133164","quantity":4},{"id":"133165","quantity":1},{"id":"133166","quantity":1},{"id":"133167","quantity":1},{"id":"133168","quantity":1},{"id":"133213","quantity":8},{"id":"133214","quantity":0},{"id":"133215","quantity":2},{"id":"133216","quantity":2},{"id":"133217","quantity":1},{"id":"133218","quantity":1},{"id":"133242","quantity":10},{"id":"133243","quantity":1},{"id":"133244","quantity":1},{"id":"132040","quantity":3},{"id":"132041","quantity":1},{"id":"132043","quantity":1},{"id":"132042","quantity":1},{"id":"132048","quantity":1},{"id":"132046","quantity":1},{"id":"132047","quantity":1},{"id":"132044","quantity":1},{"id":"132045","quantity":1},{"id":"132049","quantity":2},{"id":"133437","quantity":5},{"id":"133438","quantity":1},{"id":"133439","quantity":1},{"id":"133440","quantity":1},{"id":"133455","quantity":10},{"id":"133456","quantity":1},{"id":"133457","quantity":1},{"id":"133458","quantity":1},{"id":"133459","quantity":2},{"id":"133460","quantity":2},{"id":"133461","quantity":2},{"id":"133462","quantity":1},{"id":"133463","quantity":1},{"id":"133464","quantity":1},{"id":"132457","quantity":5},{"id":"132458","quantity":1},{"id":"133473","quantity":3},{"id":"133474","quantity":10},{"id":"133475","quantity":1},{"id":"133476","quantity":1},{"id":"132511","quantity":5},{"id":"132512","quantity":1},{"id":"132510","quantity":2}]
CUSTOM - 2021-07-16 09:35:19 --> Order::updateWarehouse - /index.php/order/updateWarehouse?ship_id=2566: {"info":{"id":"2566","truck_id":"3","driver":"Nguy\u00ean","sub_driver":["0"],"created":"2021-07-15 18:46:22","allow":"0","status":"0","date":"2021-07-14T17:00:00.000Z","index":"1","note":null,"order_detail":[{"id":"21701","customer_id":"1129","total_price":"791000","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-14 12:02:13","note":"","order_code":"CH000021701","saler":"4","old_debit":"0","last_bill":"0"},{"id":"21702","customer_id":"1110","total_price":"806500","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-14 12:02:33","note":"","order_code":"CH000021702","saler":"4","old_debit":"0","last_bill":"0"},{"id":"21726","customer_id":"408","total_price":"3747000","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-14 12:30:24","note":"","order_code":"CH000021726","saler":"3","old_debit":"0","last_bill":"0"},{"id":"21727","customer_id":"199","total_price":"1664500","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-14 12:31:26","note":"","order_code":"CH000021727","saler":"3","old_debit":"0","last_bill":"0"},{"id":"21739","customer_id":"1392","total_price":"500500","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-14 12:50:33","note":"","order_code":"CH000021739","saler":"4","old_debit":"0","last_bill":"0"},{"id":"21740","customer_id":"1188","total_price":"1383000","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-14 12:52:03","note":"","order_code":"CH000021740","saler":"4","old_debit":"0","last_bill":"0"},{"id":"21769","customer_id":"1669","total_price":"0","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-15 10:56:25","note":"kh\u00e1ch \u0111\u00e3 thanh to\u00e1n","order_code":"CH000021769","saler":"11","old_debit":"0","last_bill":"0"},{"id":"21771","customer_id":"1126","total_price":"628000","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-15 11:56:04","note":"","order_code":"CH000021771","saler":"4","old_debit":"0","last_bill":"0"},{"id":"21775","customer_id":"1623","total_price":"952000","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-15 12:00:58","note":"","order_code":"CH000021775","saler":"1","old_debit":"0","last_bill":"0"},{"id":"21780","customer_id":"1287","total_price":"2336500","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-15 12:03:50","note":"","order_code":"CH000021780","saler":"1","old_debit":"0","last_bill":"0"},{"id":"21785","customer_id":"780","total_price":"1288500","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-15 12:06:21","note":"","order_code":"CH000021785","saler":"1","old_debit":"0","last_bill":"0"},{"id":"21796","customer_id":"1391","total_price":"2061500","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-15 12:18:28","note":"","order_code":"CH000021796","saler":"4","old_debit":"0","last_bill":"0"},{"id":"21821","customer_id":"471","total_price":"931000","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-15 14:13:41","note":"","order_code":"CH000021821","saler":"4","old_debit":"0","last_bill":"0"},{"id":"21825","customer_id":"191","total_price":"3286500","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-15 14:25:16","note":"","order_code":"CH000021825","saler":"3","old_debit":"0","last_bill":"0"},{"id":"21827","customer_id":"1568","total_price":"580500","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-15 14:27:03","note":"","order_code":"CH000021827","saler":"3","old_debit":"0","last_bill":"0"},{"id":"21828","customer_id":"1326","total_price":"789000","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-15 14:27:26","note":"","order_code":"CH000021828","saler":"3","old_debit":"0","last_bill":"0"},{"id":"21829","customer_id":"424","total_price":"1369000","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-15 14:28:07","note":"","order_code":"CH000021829","saler":"3","old_debit":"0","last_bill":"0"},{"id":"21834","customer_id":"1389","total_price":"1525000","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-15 14:35:21","note":"","order_code":"CH000021834","saler":"4","old_debit":"0","last_bill":"0"},{"id":"21835","customer_id":"1524","total_price":"790000","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-15 14:35:49","note":"","order_code":"CH000021835","saler":"4","old_debit":"0","last_bill":"0"}],"truck_name":"XeNho-28187"},"truck_id":"3","driver":"Nguy\u00ean","sub_driver":["0"]}
CUSTOM - 2021-07-16 09:35:43 --> Order::saveDevided - /index.php/order/saveDevided: [{"id":"132836","quantity":1},{"id":"132837","quantity":1},{"id":"132838","quantity":1},{"id":"132839","quantity":1},{"id":"132840","quantity":1},{"id":"132841","quantity":5},{"id":"132842","quantity":1},{"id":"132843","quantity":1},{"id":"132965","quantity":5},{"id":"132966","quantity":1},{"id":"132967","quantity":1},{"id":"132968","quantity":2},{"id":"132969","quantity":3},{"id":"132970","quantity":2},{"id":"132972","quantity":2},{"id":"132973","quantity":1},{"id":"132974","quantity":1},{"id":"132975","quantity":1},{"id":"132976","quantity":1},{"id":"132977","quantity":1},{"id":"132978","quantity":1},{"id":"132979","quantity":5},{"id":"132980","quantity":2},{"id":"132981","quantity":1},{"id":"132982","quantity":1},{"id":"132983","quantity":1},{"id":"132984","quantity":1},{"id":"132985","quantity":1},{"id":"132986","quantity":1},{"id":"133041","quantity":1},{"id":"133042","quantity":2},{"id":"133043","quantity":2},{"id":"133044","quantity":1},{"id":"133045","quantity":1},{"id":"133046","quantity":2},{"id":"133047","quantity":1},{"id":"131763","quantity":30},{"id":"133169","quantity":5},{"id":"133170","quantity":1},{"id":"133164","quantity":4},{"id":"133165","quantity":1},{"id":"133166","quantity":1},{"id":"133167","quantity":1},{"id":"133168","quantity":1},{"id":"133213","quantity":8},{"id":"133215","quantity":2},{"id":"133216","quantity":2},{"id":"133217","quantity":1},{"id":"133218","quantity":1},{"id":"133242","quantity":10},{"id":"133243","quantity":1},{"id":"133244","quantity":1},{"id":"132040","quantity":3},{"id":"132041","quantity":1},{"id":"132043","quantity":1},{"id":"132042","quantity":1},{"id":"132048","quantity":1},{"id":"132046","quantity":1},{"id":"132047","quantity":1},{"id":"132044","quantity":1},{"id":"132045","quantity":1},{"id":"132049","quantity":2},{"id":"133437","quantity":5},{"id":"133438","quantity":1},{"id":"133439","quantity":1},{"id":"133440","quantity":1},{"id":"133455","quantity":10},{"id":"133456","quantity":1},{"id":"133457","quantity":1},{"id":"133458","quantity":1},{"id":"133459","quantity":2},{"id":"133460","quantity":2},{"id":"133461","quantity":2},{"id":"133462","quantity":1},{"id":"133463","quantity":1},{"id":"133464","quantity":1},{"id":"132457","quantity":5},{"id":"132458","quantity":1},{"id":"133473","quantity":3},{"id":"133474","quantity":10},{"id":"133475","quantity":1},{"id":"133476","quantity":1},{"id":"132511","quantity":5},{"id":"132512","quantity":1},{"id":"132510","quantity":2}]
CUSTOM - 2021-07-16 09:35:43 --> Order::updateWarehouse - /index.php/order/updateWarehouse?ship_id=2566: {"info":{"id":"2566","truck_id":"3","driver":"Nguy\u00ean","sub_driver":["0"],"created":"2021-07-15 18:46:22","allow":"0","status":"0","date":"2021-07-14T17:00:00.000Z","index":"1","note":null,"order_detail":[{"id":"21701","customer_id":"1129","total_price":"791000","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-14 12:02:13","note":"","order_code":"CH000021701","saler":"4","old_debit":"0","last_bill":"0"},{"id":"21702","customer_id":"1110","total_price":"806500","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-14 12:02:33","note":"","order_code":"CH000021702","saler":"4","old_debit":"0","last_bill":"0"},{"id":"21726","customer_id":"408","total_price":"3272000","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-14 12:30:24","note":"","order_code":"CH000021726","saler":"3","old_debit":"0","last_bill":"0"},{"id":"21727","customer_id":"199","total_price":"1664500","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-14 12:31:26","note":"","order_code":"CH000021727","saler":"3","old_debit":"0","last_bill":"0"},{"id":"21739","customer_id":"1392","total_price":"500500","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-14 12:50:33","note":"","order_code":"CH000021739","saler":"4","old_debit":"0","last_bill":"0"},{"id":"21740","customer_id":"1188","total_price":"1383000","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-14 12:52:03","note":"","order_code":"CH000021740","saler":"4","old_debit":"0","last_bill":"0"},{"id":"21769","customer_id":"1669","total_price":"0","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-15 10:56:25","note":"kh\u00e1ch \u0111\u00e3 thanh to\u00e1n","order_code":"CH000021769","saler":"11","old_debit":"0","last_bill":"0"},{"id":"21771","customer_id":"1126","total_price":"628000","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-15 11:56:04","note":"","order_code":"CH000021771","saler":"4","old_debit":"0","last_bill":"0"},{"id":"21775","customer_id":"1623","total_price":"952000","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-15 12:00:58","note":"","order_code":"CH000021775","saler":"1","old_debit":"0","last_bill":"0"},{"id":"21780","customer_id":"1287","total_price":"2158000","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-15 12:03:50","note":"","order_code":"CH000021780","saler":"1","old_debit":"0","last_bill":"0"},{"id":"21785","customer_id":"780","total_price":"1288500","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-15 12:06:21","note":"","order_code":"CH000021785","saler":"1","old_debit":"0","last_bill":"0"},{"id":"21796","customer_id":"1391","total_price":"2061500","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-15 12:18:28","note":"","order_code":"CH000021796","saler":"4","old_debit":"0","last_bill":"0"},{"id":"21821","customer_id":"471","total_price":"931000","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-15 14:13:41","note":"","order_code":"CH000021821","saler":"4","old_debit":"0","last_bill":"0"},{"id":"21825","customer_id":"191","total_price":"3286500","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-15 14:25:16","note":"","order_code":"CH000021825","saler":"3","old_debit":"0","last_bill":"0"},{"id":"21827","customer_id":"1568","total_price":"580500","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-15 14:27:03","note":"","order_code":"CH000021827","saler":"3","old_debit":"0","last_bill":"0"},{"id":"21828","customer_id":"1326","total_price":"789000","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-15 14:27:26","note":"","order_code":"CH000021828","saler":"3","old_debit":"0","last_bill":"0"},{"id":"21829","customer_id":"424","total_price":"1208500","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-15 14:28:07","note":"","order_code":"CH000021829","saler":"3","old_debit":"0","last_bill":"0"},{"id":"21835","customer_id":"1524","total_price":"790000","delivery":"0","status":"2","shipment_id":"2566","created":"2021-07-15 14:35:49","note":"","order_code":"CH000021835","saler":"4","old_debit":"0","last_bill":"0"}],"truck_name":"XeNho-28187"},"truck_id":"3","driver":"Nguy\u00ean","sub_driver":["0"]}
CUSTOM - 2021-07-16 09:40:25 --> Order::index - /index.php/order: null
CUSTOM - 2021-07-16 10:01:51 --> Order::index - /index.php/order: null
CUSTOM - 2021-07-16 10:01:56 --> Order::index - /index.php/order: null
CUSTOM - 2021-07-16 10:54:01 --> Order::index - /index.php/order: null
CUSTOM - 2021-07-16 11:02:52 --> Customers::createCustomer - /index.php/customers/createCustomer: {"type":"customer","address":"64 Qu\u00e1ch \u0110\u00ecnh B\u1ea3o","phone_home":[],"phone_mobile":[]}
CUSTOM - 2021-07-16 11:14:04 --> Order::addOrder - /index.php/order/addOrder: {"note":"","lstProId":[],"orders":[{"product_id":"33","cost":null,"unit":"","price":106500,"quantity":1,"total":"33"},{"product_id":"275","cost":null,"unit":"","price":106500,"quantity":2,"total":"275"},{"product_id":"141","cost":null,"unit":"","price":128500,"quantity":3,"total":"141"},{"product_id":"145","cost":null,"unit":"","price":128500,"quantity":1,"total":"145"},{"product_id":"147","cost":null,"unit":"","price":128500,"quantity":2,"total":"147"},{"product_id":"31","cost":null,"unit":"","price":172000,"quantity":1,"total":"31"},{"product_id":"29","cost":null,"unit":"","price":172000,"quantity":2,"total":"29"},{"product_id":"27","cost":null,"unit":"","price":140500,"quantity":4,"total":"27"},{"product_id":"253","cost":null,"unit":"","price":130000,"quantity":7,"total":"253"},{"product_id":"254","cost":null,"unit":"","price":130000,"quantity":4,"total":"254"},{"product_id":"151","cost":null,"unit":"","price":172000,"quantity":2,"total":"151"},{"product_id":"26","cost":null,"unit":"","price":140500,"quantity":15,"total":"26"},{"product_id":"272","cost":null,"unit":"","price":127500,"quantity":3,"total":"272"},{"product_id":"1","cost":null,"unit":"","price":93500,"quantity":7,"total":"1"}],"total_price":7087000,"customer_id":"1670","saler":"12"}
CUSTOM - 2021-07-16 11:14:15 --> Order::index - /index.php/order: null
CUSTOM - 2021-07-16 11:16:09 --> Order::update - /index.php/order/update: {"note":"KH\u00c1CH L\u00caN L\u1ea4Y NHA","lstProId":[],"id":"21847","orders":[{"product_id":"1","cost":1,"unit":"","price":93500,"quantity":7,"total":"1"},{"product_id":"26","cost":28,"unit":"","price":140500,"quantity":15,"total":"26"},{"product_id":"27","cost":29,"unit":"","price":140500,"quantity":4,"total":"27"},{"product_id":"29","cost":35,"unit":"","price":172000,"quantity":2,"total":"29"},{"product_id":"31","cost":37,"unit":"","price":172000,"quantity":1,"total":"31"},{"product_id":"33","cost":39,"unit":"","price":106500,"quantity":1,"total":"33"},{"product_id":"141","cost":42,"unit":"","price":128500,"quantity":3,"total":"141"},{"product_id":"145","cost":40,"unit":"","price":128500,"quantity":1,"total":"145"},{"product_id":"147","cost":41,"unit":"","price":128500,"quantity":2,"total":"147"},{"product_id":"151","cost":34,"unit":"","price":172000,"quantity":2,"total":"151"},{"product_id":"253","cost":5686,"unit":"","price":130000,"quantity":7,"total":"253"},{"product_id":"254","cost":5687,"unit":"","price":130000,"quantity":4,"total":"254"},{"product_id":"272","cost":6964,"unit":"","price":127500,"quantity":3,"total":"272"},{"product_id":"275","cost":7679,"unit":"","price":106500,"quantity":2,"total":"275"}],"total_price":7087000,"customer_id":"1670","saler":"12"}
CUSTOM - 2021-07-16 11:16:11 --> Order::index - /index.php/order: null
CUSTOM - 2021-07-16 11:29:44 --> Order::saveDevided - /index.php/order/saveDevided: [{"id":"133344","quantity":5},{"id":"133345","quantity":2},{"id":"133346","quantity":2},{"id":"133347","quantity":1},{"id":"133348","quantity":1},{"id":"133349","quantity":1},{"id":"133350","quantity":1},{"id":"133351","quantity":0},{"id":"133352","quantity":0},{"id":"133353","quantity":0},{"id":"133354","quantity":1},{"id":"133355","quantity":5},{"id":"133356","quantity":4},{"id":"133357","quantity":3},{"id":"133358","quantity":1},{"id":"133359","quantity":1},{"id":"133490","quantity":10},{"id":"133491","quantity":1},{"id":"133492","quantity":1},{"id":"133493","quantity":1},{"id":"132694","quantity":10},{"id":"132695","quantity":2},{"id":"132696","quantity":1},{"id":"132697","quantity":2},{"id":"132699","quantity":5},{"id":"132701","quantity":9},{"id":"132700","quantity":5},{"id":"132698","quantity":12},{"id":"133494","quantity":10},{"id":"133495","quantity":2},{"id":"133496","quantity":2},{"id":"133497","quantity":2},{"id":"133498","quantity":0},{"id":"133499","quantity":1}]
CUSTOM - 2021-07-16 11:29:44 --> Order::updateWarehouse - /index.php/order/updateWarehouse?ship_id=2568: {"info":{"id":"2568","truck_id":"1","driver":"0","sub_driver":["0"],"created":"2021-07-15 18:59:07","allow":"0","status":"0","date":"2021-07-14T17:00:00.000Z","index":"3","note":null,"order_detail":[{"id":"21810","customer_id":"1393","total_price":"4132500","delivery":"0","status":"2","shipment_id":"2568","created":"2021-07-15 13:53:43","note":"","order_code":"CH000021810","saler":"2","old_debit":"0","last_bill":"0"},{"id":"21831","customer_id":"736","total_price":"1434000","delivery":"0","status":"2","shipment_id":"2568","created":"2021-07-15 14:31:28","note":"","order_code":"CH000021831","saler":"3","old_debit":"0","last_bill":"0"},{"id":"21832","customer_id":"741","total_price":"5959000","delivery":"0","status":"2","shipment_id":"2568","created":"2021-07-15 14:31:55","note":"","order_code":"CH000021832","saler":"3","old_debit":"0","last_bill":"0"},{"id":"21833","customer_id":"739","total_price":"2633000","delivery":"0","status":"2","shipment_id":"2568","created":"2021-07-15 14:33:04","note":"","order_code":"CH000021833","saler":"3","old_debit":"0","last_bill":"0"}],"truck_name":"Xanh-84269"},"truck_id":"1","driver":"0","sub_driver":["0"]}
CUSTOM - 2021-07-16 11:38:57 --> Order::index - /index.php/order: null
CUSTOM - 2021-07-16 11:39:15 --> Order::index - /index.php/order: null
CUSTOM - 2021-07-16 11:39:45 --> Order::update - /index.php/order/update: {"note":"","lstProId":[],"id":"21653","orders":[{"product_id":"1","cost":1,"unit":"","price":93500,"quantity":5,"total":"1"},{"product_id":"2","cost":2,"unit":"","price":93500,"quantity":1,"total":"2"},{"product_id":"4","cost":4,"unit":"","price":93500,"quantity":1,"total":"4"},{"product_id":"5","cost":5,"unit":"","price":93500,"quantity":2,"total":"5"},{"product_id":"15","cost":16,"unit":"","price":193000,"quantity":1,"total":"15"},{"product_id":"44","cost":51,"unit":"","price":133000,"quantity":2,"total":"44"},{"product_id":"101","cost":85,"unit":"","price":326000,"quantity":5,"total":"101"},{"product_id":"150","cost":12,"unit":"","price":178500,"quantity":1,"total":"150"},{"product_id":"153","cost":243,"unit":"","price":170000,"quantity":5,"total":"153"},{"product_id":"171","cost":32,"unit":"","price":72000,"quantity":1,"total":"171"},{"product_id":"78","cost":null,"unit":"","price":261000,"quantity":3,"total":"78"},{"product_id":"89","cost":null,"unit":"","price":155000,"quantity":2,"total":"89"}],"total_price":5124000,"customer_id":"1581","saler":"3"}
CUSTOM - 2021-07-16 11:39:47 --> Order::index - /index.php/order: null
CUSTOM - 2021-07-16 11:56:49 --> Order::updateStatusShipment - /index.php/order/updateStatusShipment?shipment_id=2566&status=1: []
CUSTOM - 2021-07-16 11:57:16 --> Order::updateStatusShipment - /index.php/order/updateStatusShipment?shipment_id=2566&status=2: []
CUSTOM - 2021-07-16 11:57:42 --> Order::orderDelivered - /index.php/order/orderDelivered: {"order_id":"21701","price":791000,"shipment_id":2566}
CUSTOM - 2021-07-16 11:57:42 --> Order::orderDelivered - /index.php/order/orderDelivered: {"order_id":"21702","price":806500,"shipment_id":2566}
CUSTOM - 2021-07-16 11:57:43 --> Order::orderDelivered - /index.php/order/orderDelivered: {"order_id":"21726","price":3272000,"shipment_id":2566}
CUSTOM - 2021-07-16 11:57:43 --> Order::orderDelivered - /index.php/order/orderDelivered: {"order_id":"21727","price":1664500,"shipment_id":2566}
CUSTOM - 2021-07-16 11:57:44 --> Order::orderDelivered - /index.php/order/orderDelivered: {"order_id":"21769","price":0,"shipment_id":2566}
CUSTOM - 2021-07-16 11:57:44 --> Order::orderDelivered - /index.php/order/orderDelivered: {"order_id":"21771","price":628000,"shipment_id":2566}
CUSTOM - 2021-07-16 11:57:44 --> Order::orderDelivered - /index.php/order/orderDelivered: {"order_id":"21780","price":2158000,"shipment_id":2566}
CUSTOM - 2021-07-16 11:57:45 --> Order::orderDelivered - /index.php/order/orderDelivered: {"order_id":"21796","price":2061500,"shipment_id":2566}
CUSTOM - 2021-07-16 11:57:45 --> Order::orderDelivered - /index.php/order/orderDelivered: {"order_id":"21775","price":952000,"shipment_id":2566}
CUSTOM - 2021-07-16 11:57:45 --> Order::orderDelivered - /index.php/order/orderDelivered: {"order_id":"21821","price":931000,"shipment_id":2566}
CUSTOM - 2021-07-16 11:57:45 --> Order::orderDelivered - /index.php/order/orderDelivered: {"order_id":"21828","price":789000,"shipment_id":2566}
CUSTOM - 2021-07-16 11:57:45 --> Order::orderDelivered - /index.php/order/orderDelivered: {"order_id":"21785","price":1288500,"shipment_id":2566}
CUSTOM - 2021-07-16 11:57:45 --> Order::orderDelivered - /index.php/order/orderDelivered: {"order_id":"21825","price":3286500,"shipment_id":2566}
CUSTOM - 2021-07-16 11:57:46 --> Order::orderDelivered - /index.php/order/orderDelivered: {"order_id":"21829","price":1208500,"shipment_id":2566}
CUSTOM - 2021-07-16 11:57:46 --> Order::orderDelivered - /index.php/order/orderDelivered: {"order_id":"21835","price":790000,"shipment_id":2566}
CUSTOM - 2021-07-16 11:57:46 --> Order::orderDelivered - /index.php/order/orderDelivered: {"order_id":"21827","price":580500,"shipment_id":2566}
CUSTOM - 2021-07-16 11:57:46 --> Order::orderDelivered - /index.php/order/orderDelivered: {"order_id":"21739","price":500500,"shipment_id":2566}
CUSTOM - 2021-07-16 11:57:46 --> Order::returnWarehouse - /index.php/order/returnWarehouse?order_id=21740: {"order_id":"21740","note":"v\u1ec1"}
CUSTOM - 2021-07-16 11:57:49 --> Shipment::saveShipmentPaymentDetail - /index.php/shipment/saveShipmentPaymentDetail: {"shipment_id":2566,"payment_detail":[{"tien":500000,"soluong":40},{"tien":200000,"soluong":5},{"tien":100000,"soluong":7},{"tien":50000,"soluong":0},{"tien":20000,"soluong":0},{"tien":10000,"soluong":0},{"tien":5000,"soluong":0},{"tien":2000,"soluong":4},{"tien":1000,"soluong":0}]}
CUSTOM - 2021-07-16 12:12:41 --> Order::addOrder - /index.php/order/addOrder: {"note":"","lstProId":[],"orders":[{"product_id":"1","cost":null,"unit":"","price":93500,"quantity":50,"total":"1"},{"product_id":"91","cost":null,"unit":"","price":88000,"quantity":50,"total":"91"}],"total_price":9075000,"customer_id":"790","saler":"1"}
CUSTOM - 2021-07-16 12:36:30 --> Warehouse_wholesale::saveAddWholesale - /index.php/warehouse_wholesale/saveAddWholesale: {"partner":"1217","total_bill":23680000,"actual":23680000,"debt":null,"buy_price":[{"product_id":"158","quantity":160,"unit":"1","price":"148000"}],"warehouseid":"2"}
CUSTOM - 2021-07-16 12:41:34 --> Order::saveDevided - /index.php/order/saveDevided: [{"id":"133542","quantity":5},{"id":"133543","quantity":1},{"id":"133544","quantity":1},{"id":"133545","quantity":2},{"id":"133546","quantity":1},{"id":"133547","quantity":2},{"id":"133552","quantity":3},{"id":"133553","quantity":2},{"id":"133548","quantity":5},{"id":"133549","quantity":1},{"id":"133550","quantity":5},{"id":"133551","quantity":1},{"id":"132952","quantity":5},{"id":"132953","quantity":1},{"id":"132954","quantity":1},{"id":"132955","quantity":1},{"id":"131637","quantity":2},{"id":"131638","quantity":0},{"id":"131640","quantity":1},{"id":"131639","quantity":1},{"id":"131642","quantity":2},{"id":"131643","quantity":2},{"id":"131641","quantity":0},{"id":"131636","quantity":1},{"id":"131634","quantity":1},{"id":"131635","quantity":1},{"id":"133235","quantity":10},{"id":"133236","quantity":1},{"id":"133237","quantity":1},{"id":"133307","quantity":5},{"id":"133308","quantity":5},{"id":"133309","quantity":1},{"id":"133317","quantity":5},{"id":"133318","quantity":1},{"id":"133319","quantity":1},{"id":"133320","quantity":1},{"id":"133321","quantity":1},{"id":"133322","quantity":1},{"id":"133323","quantity":0},{"id":"133324","quantity":1},{"id":"133325","quantity":1},{"id":"133326","quantity":1},{"id":"133327","quantity":1},{"id":"133328","quantity":1},{"id":"133329","quantity":1},{"id":"133330","quantity":1},{"id":"133331","quantity":1},{"id":"133332","quantity":1},{"id":"133333","quantity":1},{"id":"133334","quantity":1},{"id":"133335","quantity":1},{"id":"133336","quantity":1},{"id":"133337","quantity":1},{"id":"133338","quantity":1},{"id":"133339","quantity":1},{"id":"133340","quantity":0},{"id":"133341","quantity":5},{"id":"133342","quantity":1},{"id":"133343","quantity":1},{"id":"133360","quantity":5},{"id":"133361","quantity":1},{"id":"133362","quantity":0},{"id":"133363","quantity":1},{"id":"133364","quantity":0},{"id":"133365","quantity":1},{"id":"133366","quantity":1},{"id":"133367","quantity":1},{"id":"133368","quantity":1},{"id":"133369","quantity":0},{"id":"133370","quantity":10},{"id":"133371","quantity":1},{"id":"133372","quantity":1},{"id":"133373","quantity":1},{"id":"133400","quantity":5},{"id":"133401","quantity":1},{"id":"133402","quantity":1},{"id":"133403","quantity":0},{"id":"133404","quantity":1},{"id":"133405","quantity":1},{"id":"133406","quantity":1},{"id":"133407","quantity":0},{"id":"133408","quantity":1},{"id":"133409","quantity":1},{"id":"133410","quantity":1},{"id":"133411","quantity":1},{"id":"133412","quantity":1},{"id":"133413","quantity":1},{"id":"132667","quantity":10},{"id":"132673","quantity":1},{"id":"132672","quantity":1},{"id":"132671","quantity":1},{"id":"132669","quantity":1},{"id":"132670","quantity":1},{"id":"132674","quantity":5},{"id":"132676","quantity":1},{"id":"132675","quantity":5},{"id":"132668","quantity":1},{"id":"132763","quantity":5},{"id":"132764","quantity":5},{"id":"132762","quantity":10}]
